pattern,category
%sun%,Sunny
%cloud%,Cloudy
%overcast%,Cloudy
%fog%,Foggy
%mist%,Foggy
%haze%,Foggy
%smog%,Foggy
%rain%,Rain
%drizzle%,Rain
%sprinkl%,Rain
%wet roadway%,Rain
%snow%,Snow
%ice%,Snow
%hail%,Snow
%sleet%,Snow
%dust%,Dust and Smoke
%sand%,Dust and Smoke
%dirt%,Dust and Smoke
%smoke%,Dust and Smoke
%ash%,Dust and Smoke
%fire%,Dust and Smoke
%wind%,Windy
%storm%,Windy
%parking%,Indoor
%garage%,Indoor
%tunnel%,Indoor
%underground%,Indoor
%covered%,Indoor
%unknown%,Unknown or Other
%unk%,Unknown or Other
%other%,Unknown or Other
%undetermined%,Unknown or Other
